订单号,日期,产品,类别,地区,销售员,数量,单价
SO-0105,2026-03-04,充电宝,配件,西南,张伟,30,149
SO-0107,2026-03-04,平板,平板,华东,张伟,28,2599
SO-0145,2026-03-04,手机,手机,华北,刘敏,16,3299
SO-0022,2026-03-05,显示器,外设,西南,刘敏,38,1299
SO-0167,2026-03-05,手机,手机,西南,刘敏,39,3299
SO-0027,2026-03-06,笔记本,电脑,华东,赵磊,35,5899
SO-0164,2026-03-06,充电宝,配件,华东,张伟,26,149
SO-0092,2026-03-07,笔记本,电脑,华中,张伟,34,5899
SO-0148,2026-03-08,机械键盘,外设,华北,陈杰,18,499
SO-0010,2026-03-09,笔记本,电脑,华中,陈杰,8,5899
SO-0176,2026-03-09,耳机,配件,华中,张伟,35,799
SO-0028,2026-03-10,机械键盘,外设,华东,王强,28,499
SO-0158,2026-03-12,显示器,外设,华东,李娜,19,1299
SO-0228,2026-03-12,笔记本,电脑,西南,赵磊,4,5899
SO-0014,2026-03-13,充电宝,配件,华北,李娜,24,149
SO-0050,2026-03-13,充电宝,配件,华南,张伟,29,149
SO-0072,2026-03-14,耳机,配件,华北,李娜,17,799
SO-0099,2026-03-15,耳机,配件,华中,陈杰,39,799
SO-0179,2026-03-15,充电宝,配件,华东,刘敏,20,149
SO-0189,2026-03-15,鼠标,配件,西南,张伟,30,199
SO-0013,2026-03-16,手机,手机,华南,张伟,25,3299
SO-0236,2026-03-17,机械键盘,外设,华东,刘敏,5,499
SO-0095,2026-03-18,显示器,外设,华中,王强,26,1299
SO-0098,2026-03-19,鼠标,配件,西南,张伟,20,199
SO-0079,2026-03-20,机械键盘,外设,华东,王强,14,499
SO-0153,2026-03-20,机械键盘,外设,华中,陈杰,34,499
SO-0038,2026-03-21,鼠标,配件,华北,刘敏,34,199
SO-0196,2026-03-21,笔记本,电脑,西南,刘敏,6,5899
SO-0232,2026-03-21,充电宝,配件,华东,陈杰,24,149
SO-0019,2026-03-22,鼠标,配件,华北,张伟,14,199
SO-0115,2026-03-23,手机,手机,华南,李娜,15,3299
SO-0207,2026-03-23,充电宝,配件,华中,刘敏,10,149
SO-0147,2026-03-25,平板,平板,华中,李娜,23,2599
SO-0217,2026-03-25,笔记本,电脑,华北,王强,24,5899
SO-0209,2026-03-26,手机,手机,华中,张伟,34,3299
SO-0075,2026-03-27,平板,平板,华北,李娜,29,2599
SO-0103,2026-03-27,手机,手机,华南,赵磊,20,3299
SO-0040,2026-03-28,笔记本,电脑,西南,陈杰,15,5899
SO-0048,2026-03-28,手机,手机,华南,李娜,13,3299
SO-0128,2026-03-28,鼠标,配件,华北,刘敏,17,199
SO-0202,2026-03-29,显示器,外设,华东,王强,20,1299
SO-0154,2026-03-30,鼠标,配件,西南,王强,23,199
SO-0015,2026-04-01,耳机,配件,华北,赵磊,5,799
SO-0230,2026-04-01,耳机,配件,华南,陈杰,17,799
SO-0012,2026-04-03,耳机,配件,华东,张伟,15,799
SO-0011,2026-04-07,手机,手机,西南,王强,40,3299
SO-0205,2026-04-07,充电宝,配件,华北,李娜,16,149
SO-0009,2026-04-08,手机,手机,华北,王强,39,3299
SO-0084,2026-04-08,笔记本,电脑,华中,李娜,13,5899
SO-0127,2026-04-08,机械键盘,外设,华南,刘敏,21,499
SO-0213,2026-04-08,机械键盘,外设,华中,陈杰,3,499
SO-0026,2026-04-09,鼠标,配件,西南,刘敏,34,199
SO-0116,2026-04-09,平板,平板,华南,张伟,27,2599
SO-0021,2026-04-12,充电宝,配件,华南,王强,9,149
SO-0137,2026-04-12,耳机,配件,华东,陈杰,16,799
SO-0023,2026-04-13,机械键盘,外设,华南,李娜,33,499
SO-0088,2026-04-13,机械键盘,外设,华东,张伟,17,499
SO-0061,2026-04-14,手机,手机,西南,李娜,38,3299
SO-0191,2026-04-14,笔记本,电脑,西南,刘敏,27,5899
SO-0081,2026-04-15,平板,平板,华南,李娜,12,2599
SO-0117,2026-04-15,机械键盘,外设,西南,刘敏,27,499
SO-0187,2026-04-15,机械键盘,外设,华北,赵磊,7,499
SO-0082,2026-04-16,笔记本,电脑,华南,赵磊,22,5899
SO-0083,2026-04-16,耳机,配件,华北,李娜,7,799
SO-0106,2026-04-17,耳机,配件,华中,刘敏,26,799
SO-0199,2026-04-17,充电宝,配件,华中,李娜,30,149
SO-0006,2026-04-18,耳机,配件,华中,陈杰,18,799
SO-0097,2026-04-18,鼠标,配件,华南,陈杰,37,199
SO-0111,2026-04-20,充电宝,配件,华南,赵磊,31,149
SO-0182,2026-04-21,机械键盘,外设,西南,王强,2,499
SO-0218,2026-04-21,平板,平板,华南,陈杰,27,2599
SO-0090,2026-04-22,机械键盘,外设,华北,刘敏,39,499
SO-0122,2026-04-22,充电宝,配件,华东,刘敏,22,149
SO-0186,2026-04-22,充电宝,配件,华东,刘敏,23,149
SO-0169,2026-04-24,显示器,外设,西南,刘敏,20,1299
SO-0216,2026-04-24,平板,平板,华北,张伟,3,2599
SO-0039,2026-04-26,手机,手机,华南,李娜,5,3299
SO-0112,2026-04-26,显示器,外设,华南,赵磊,18,1299
SO-0055,2026-04-27,显示器,外设,华中,赵磊,36,1299
SO-0210,2026-04-27,笔记本,电脑,华南,刘敏,10,5899
SO-0225,2026-04-27,显示器,外设,华南,刘敏,31,1299
SO-0065,2026-04-28,机械键盘,外设,华东,张伟,30,499
SO-0085,2026-04-28,机械键盘,外设,华北,李娜,15,499
SO-0222,2026-04-28,显示器,外设,华东,刘敏,19,1299
SO-0110,2026-04-29,机械键盘,外设,华中,陈杰,33,499
SO-0146,2026-04-29,鼠标,配件,华北,张伟,32,199
SO-0047,2026-04-30,笔记本,电脑,华东,张伟,26,5899
SO-0144,2026-04-30,鼠标,配件,西南,王强,21,199
SO-0174,2026-05-01,显示器,外设,华东,李娜,19,1299
SO-0185,2026-05-01,充电宝,配件,华北,李娜,38,149
SO-0059,2026-05-03,平板,平板,华东,陈杰,6,2599
SO-0163,2026-05-03,充电宝,配件,华北,李娜,4,149
SO-0204,2026-05-04,机械键盘,外设,华北,陈杰,35,499
SO-0035,2026-05-05,手机,手机,西南,李娜,9,3299
SO-0053,2026-05-05,充电宝,配件,华南,刘敏,4,149
SO-0165,2026-05-06,手机,手机,西南,赵磊,4,3299
SO-0024,2026-05-07,手机,手机,华东,张伟,10,3299
SO-0181,2026-05-07,充电宝,配件,华东,陈杰,3,149
SO-0208,2026-05-07,笔记本,电脑,华南,陈杰,38,5899
SO-0193,2026-05-08,充电宝,配件,华东,李娜,18,149
SO-0198,2026-05-08,显示器,外设,西南,赵磊,18,1299
SO-0221,2026-05-08,平板,平板,华南,刘敏,17,2599
SO-0030,2026-05-09,平板,平板,西南,张伟,20,2599
SO-0067,2026-05-10,显示器,外设,华南,王强,5,1299
SO-0073,2026-05-10,充电宝,配件,华北,张伟,6,149
SO-0091,2026-05-11,手机,手机,华中,陈杰,13,3299
SO-0201,2026-05-11,平板,平板,华东,王强,27,2599
SO-0043,2026-05-12,耳机,配件,华北,赵磊,32,799
SO-0113,2026-05-14,充电宝,配件,华南,王强,29,149
SO-0037,2026-05-16,鼠标,配件,华南,陈杰,13,199
SO-0235,2026-05-16,显示器,外设,华南,王强,31,1299
SO-0160,2026-05-17,平板,平板,华北,张伟,4,2599
SO-0049,2026-05-18,充电宝,配件,华南,刘敏,12,149
SO-0093,2026-05-18,耳机,配件,华北,刘敏,5,799
SO-0121,2026-05-18,耳机,配件,华中,李娜,18,799
SO-0157,2026-05-18,平板,平板,华南,李娜,31,2599
SO-0032,2026-05-19,笔记本,电脑,西南,王强,32,5899
SO-0069,2026-05-20,显示器,外设,西南,赵磊,34,1299
SO-0051,2026-05-21,手机,手机,华东,赵磊,35,3299
SO-0194,2026-05-21,平板,平板,华北,刘敏,32,2599
SO-0076,2026-05-22,鼠标,配件,西南,张伟,8,199
SO-0161,2026-05-22,显示器,外设,华南,赵磊,32,1299
SO-0200,2026-05-22,平板,平板,华中,李娜,39,2599
SO-0109,2026-05-23,耳机,配件,华东,刘敏,9,799
SO-0149,2026-05-23,笔记本,电脑,西南,李娜,6,5899
SO-0219,2026-05-25,平板,平板,华南,李娜,6,2599
SO-0020,2026-05-26,机械键盘,外设,华南,赵磊,32,499
SO-0170,2026-05-26,笔记本,电脑,西南,赵磊,7,5899
SO-0206,2026-05-27,鼠标,配件,华南,刘敏,3,199
SO-0227,2026-05-28,显示器,外设,华北,张伟,26,1299
SO-0136,2026-05-29,笔记本,电脑,华北,陈杰,25,5899
SO-0078,2026-05-30,平板,平板,华中,李娜,3,2599
SO-0240,2026-05-30,鼠标,配件,华北,张伟,15,199
SO-0041,2026-05-31,耳机,配件,华东,张伟,4,799
SO-0203,2026-05-31,充电宝,配件,华南,刘敏,35,149
SO-0224,2026-05-31,显示器,外设,华中,赵磊,17,1299
SO-0062,2026-06-02,笔记本,电脑,西南,张伟,27,5899
SO-0168,2026-06-02,耳机,配件,西南,刘敏,29,799
SO-0005,2026-06-04,笔记本,电脑,西南,李娜,35,5899
SO-0016,2026-06-05,平板,平板,西南,赵磊,16,2599
SO-0135,2026-06-05,手机,手机,华南,王强,7,3299
SO-0229,2026-06-05,充电宝,配件,华北,李娜,39,149
SO-0220,2026-06-06,鼠标,配件,西南,赵磊,16,199
SO-0214,2026-06-08,手机,手机,华南,赵磊,19,3299
SO-0066,2026-06-09,手机,手机,华东,陈杰,14,3299
SO-0124,2026-06-09,笔记本,电脑,华中,陈杰,37,5899
SO-0025,2026-06-10,平板,平板,华中,陈杰,5,2599
SO-0074,2026-06-12,鼠标,配件,华北,张伟,1,199
SO-0001,2026-06-13,手机,手机,华东,赵磊,18,3299
SO-0031,2026-06-13,耳机,配件,华南,王强,11,799
SO-0131,2026-06-16,笔记本,电脑,华东,李娜,13,5899
SO-0143,2026-06-16,显示器,外设,西南,陈杰,31,1299
SO-0100,2026-06-17,机械键盘,外设,华中,刘敏,29,499
SO-0036,2026-06-18,充电宝,配件,西南,李娜,17,149
SO-0063,2026-06-18,机械键盘,外设,华北,李娜,21,499
SO-0102,2026-06-18,手机,手机,华北,陈杰,40,3299
SO-0056,2026-06-19,充电宝,配件,华南,李娜,19,149
SO-0125,2026-06-19,笔记本,电脑,华东,赵磊,28,5899
SO-0094,2026-06-20,机械键盘,外设,西南,王强,8,499
SO-0123,2026-06-21,鼠标,配件,华南,刘敏,9,199
SO-0133,2026-06-21,手机,手机,西南,李娜,30,3299
SO-0101,2026-06-22,耳机,配件,西南,刘敏,11,799
SO-0184,2026-06-22,显示器,外设,西南,张伟,12,1299
SO-0003,2026-06-23,手机,手机,西南,刘敏,3,3299
SO-0223,2026-06-23,平板,平板,华东,刘敏,23,2599
SO-0231,2026-06-23,平板,平板,华东,赵磊,3,2599
SO-0080,2026-06-24,耳机,配件,华东,王强,36,799
SO-0151,2026-06-26,充电宝,配件,华中,刘敏,2,149
SO-0212,2026-06-27,鼠标,配件,华东,王强,35,199
SO-0096,2026-06-28,显示器,外设,西南,李娜,13,1299
SO-0119,2026-06-28,笔记本,电脑,西南,刘敏,31,5899
SO-0134,2026-06-29,显示器,外设,华北,李娜,39,1299
SO-0155,2026-06-29,充电宝,配件,华北,王强,17,149
SO-0180,2026-06-29,鼠标,配件,华北,陈杰,35,199
SO-0175,2026-06-30,显示器,外设,华中,张伟,15,1299
